cislo_zamestnance,plat,jmeno,prijimeni,telefonni_cislo,mesto
35,,Marcel,Hájek,+421 902 928 669,Praha
53,,Karolína,Short,721 589 083,Praha
54,,Michelle,Vlčková,+421 41 720 7806,Praha
58,,John,Bailey,775 021 116,Praha
60,,William,Shelton,+421 47 745 8219,Praha
62,,Miroslava,Veselá,774 029 254,Praha
66,,Nathan,Svoboda,728 710 923,Praha
72,,Robert,Říha,727 351 984,Praha
10,,Jindřich,Howell,+421 39 043 0948,Plzen
13,,Alexander,Martinez,721 195 689,Plzen
86,,Jennifer,Brown,775 545 190,Liberec
88,,Robert,Macias,+421 49 929 6856,Liberec
99,,Ivan,Bartoš,603 226 051,Liberec
