cislo_zamestnance,plat,jmeno,prijimeni,telefonni_cislo,mesto
30,33500.0,Brian,Hall,+421 949 656 098,Praha
32,53000.0,Marta,Kolářová,730 456 163,Praha
33,38400.0,John,Moravec,725 092 179,Praha
34,36800.0,Dominika,Kopecká,722 747 626,Praha
38,32600.0,Milada,Hernandez,773 373 704,Praha
40,32800.0,Catherine,Bender,604 068 460,Praha
41,49300.0,Olga,Němcová,+421 914 172 243,Praha
44,52000.0,Jeffrey,Šťastný,607 628 821,Praha
47,40700.0,Kamila,Říhová,+421 948 396 069,Praha
49,58400.0,Jaromír,Miller,+421 912 615 902,Praha
51,37100.0,Christopher,Zeman,+421 948 150 084,Praha
56,39300.0,Jeffrey,Pospíšil,+421 55 491 6940,Praha
57,36800.0,Ladislav,Blažek,+421 910 274 975,Praha
63,31400.0,William,Alexander,+421 949 106 724,Praha
64,36900.0,Kimberly,Bass,+421 912 169 840,Praha
69,32600.0,Luděk,Bartoš,+421 940 700 326,Praha
70,52600.0,Dillon,Black,734 300 978,Praha
74,49300.0,Steve,Šimek,604 966 101,Praha
76,55400.0,Theresa,Kučerová,+421 48 528 0081,Praha
78,52600.0,Marta,Butler,+421 944 196 827,Praha
80,57700.0,Samantha,Kadlecová,+421 904 841 543,Praha
3,54900.0,Stacy,Pospíšilová,727 293 880,Plzen
6,54800.0,Matěj,Král,770 787 377,Plzen
7,36400.0,Amanda,Wilson,+421 52 656 7231,Plzen
8,47900.0,Angel,Wilson,+421 52 135 2491,Plzen
16,34200.0,Radim,Kopecký,+421 917 371 226,Plzen
18,35400.0,Miroslav,Reed,774 829 074,Plzen
21,54200.0,Emilie,Powell,731 380 539,Plzen
22,34400.0,Nikola,Wade,726 763 154,Plzen
23,39000.0,Katherine,Reed,726 214 968,Plzen
24,44200.0,Kayla,Urbanová,737 772 985,Plzen
26,59600.0,Roman,Moreno,722 284 985,Plzen
27,45100.0,Bohumila,Smith,608 121 912,Plzen
28,38100.0,Blažena,Smith,+421 51 828 2591,Plzen
29,48900.0,Phillip,Malý,731 594 560,Plzen
83,46500.0,Nela,Šťastná,728 454 176,Liberec
84,38600.0,Heather,Marková,604 404 522,Liberec
85,44200.0,Krista,Procházková,+421 50 444 5544,Liberec
87,49900.0,Ladislava,Blackwell,+421 913 487 200,Liberec
90,41100.0,Dana,Reyes,+421 904 153 942,Liberec
92,48100.0,Vasyl,Veselý,603 759 413,Liberec
95,31600.0,Randy,Veselý,777 149 125,Liberec
96,50200.0,Audrey,Allen,+421 908 839 506,Liberec
